record_date,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_PRECIPITATION,AVERAGE_RAIN
36,2018-12-08 10:00:00,None,36.7,0.0,75.5,LIGHT,7.0,1032.0,100.0,1.0,algumas nuvens,0.0,
37,2018-11-03 01:00:00,None,38.3,0.0,84.3,DARK,13.0,1026.0,100.0,0.0,,0.0,
38,2018-09-18 13:00:00,Medium,34.2,36.3,92.5,LIGHT,21.0,1018.0,83.0,3.0,tempo nublado,0.0,
39,2019-01-27 00:00:00,Low,37.2,3.0,66.9,DARK,11.0,1020.0,87.0,4.0,tempo nublado,0.0,
40,2018-10-27 06:00:00,Low,48.2,1.4,82.9,DARK,11.0,1016.0,66.0,8.0,céu claro,0.0,
41,2019-06-19 08:00:00,Very_High,46.0,131.7,61.5,LIGHT,16.0,1015.0,100.0,3.0,nuvens quebradas,0.0,
42,2019-01-25 10:00:00,High,39.0,41.3,79.0,LIGHT,7.0,1021.0,100.0,1.0,céu claro,0.0,
43,2018-08-12 13:00:00,Medium,40.6,19.9,87.6,LIGHT,20.0,1019.0,82.0,4.0,nuvens quebradas,0.0,
44,2018-09-13 18:00:00,High,42.9,63.6,85.6,LIGHT,20.0,1018.0,73.0,2.0,céu claro,0.0,
45,2018-10-05 06:00:00,None,47.4,0.0,85.9,DARK,9.0,1016.0,87.0,1.0,céu claro,0.0,
46,2019-01-24 00:00:00,None,39.1,0.0,72.0,DARK,13.0,1018.0,93.0,6.0,nuvens quebradas,0.0,
47,2019-02-27 18:00:00,High,40.2,31.3,88.9,LOW_LIGHT,14.0,1029.0,76.0,1.0,algumas nuvens,0.0,
48,2018-11-14 09:00:00,Very_High,47.7,103.1,81.5,LIGHT,10.0,1020.0,76.0,5.0,,0.0,
49,2019-04-26 06:00:00,Medium,43.1,7.6,66.5,LOW_LIGHT,9.0,1024.0,87.0,2.0,céu pouco nublado,0.0,
50,2018-09-01 06:00:00,None,47.3,0.0,89.4,DARK,15.0,1014.0,88.0,2.0,céu claro,0.0,
51,2019-07-10 19:00:00,Low,37.3,6.9,78.8,LIGHT,28.0,1014.0,61.0,4.0,,0.0,
52,2019-02-01 22:00:00,Medium,45.6,10.2,77.3,DARK,9.0,1005.0,87.0,10.0,,0.0,chuva
53,2018-07-25 10:00:00,Medium,37.4,30.6,90.0,LIGHT,19.0,1016.0,77.0,0.0,nuvens quebradas,0.0,
54,2018-09-09 09:00:00,None,34.8,0.0,88.4,LIGHT,17.0,1021.0,100.0,1.0,,0.0,
55,2019-09-29 04:00:00,None,44.2,2.6,77.6,DARK,12.0,1019.0,100.0,2.0,,0.0,chuva fraca
56,2019-02-13 09:00:00,Very_High,44.3,111.9,86.4,LIGHT,5.0,1029.0,66.0,5.0,céu claro,0.0,
57,2019-04-11 20:00:00,None,38.9,2.5,69.5,DARK,12.0,1021.0,87.0,2.0,céu limpo,0.0,
58,2018-08-26 02:00:00,None,45.0,0.0,80.6,DARK,14.0,1015.0,87.0,1.0,céu claro,0.0,
59,2019-06-25 13:00:00,Medium,37.4,20.6,76.5,LIGHT,21.0,1016.0,72.0,2.0,céu pouco nublado,0.0,
60,2018-10-01 20:00:00,None,37.6,1.9,84.9,DARK,18.0,1019.0,67.0,2.0,céu claro,0.0,
61,2018-10-25 17:00:00,High,44.5,78.7,85.0,LOW_LIGHT,17.0,1017.0,67.0,0.0,nuvens quebradas,0.0,
62,2019-06-02 01:00:00,None,36.4,0.0,68.9,DARK,17.0,1018.0,82.0,1.0,,0.0,
63,2019-08-15 15:00:00,High,38.5,92.2,92.8,LIGHT,26.0,1020.0,69.0,6.0,,0.0,
64,2018-08-02 18:00:00,High,45.3,38.8,87.0,LIGHT,30.0,1013.0,43.0,3.0,céu claro,0.0,
65,2019-07-03 10:00:00,Medium,32.9,24.1,88.8,LIGHT,21.0,1013.0,88.0,4.0,nuvens quebradas,0.0,
66,2019-05-18 13:00:00,Low,33.7,7.0,70.8,LIGHT,15.0,1016.0,67.0,4.0,nuvens dispersas,0.0,
67,2018-12-03 21:00:00,None,41.9,0.0,73.8,DARK,14.0,1023.0,100.0,0.0,,0.0,
68,2019-08-14 01:00:00,None,49.6,4.1,86.1,DARK,15.0,1021.0,87.0,8.0,,0.0,
69,2019-03-31 09:00:00,Low,40.7,3.6,83.4,LIGHT,14.0,1012.0,55.0,3.0,céu limpo,0.0,
70,2019-09-18 06:00:00,Medium,40.5,5.0,81.8,DARK,14.0,1015.0,100.0,2.0,,0.0,
71,2018-09-21 18:00:00,High,44.5,43.3,81.3,LOW_LIGHT,20.0,1021.0,82.0,5.0,céu claro,0.0,
72,2019-07-09 19:00:00,High,39.3,22.3,79.0,LIGHT,24.0,1015.0,73.0,4.0,,0.0,
73,2019-07-19 15:00:00,High,36.0,59.6,87.9,LIGHT,25.0,1015.0,82.0,6.0,,0.0,
74,2019-07-06 23:00:00,Low,34.9,7.9,92.3,DARK,18.0,1016.0,93.0,2.0,céu pouco nublado,0.0,
75,2018-09-14 05:00:00,None,41.9,0.0,87.0,DARK,14.0,1017.0,100.0,1.0,,0.0,
76,2018-11-22 20:00:00,High,44.2,37.5,73.3,DARK,11.0,1012.0,87.0,5.0,,0.0,
77,2019-01-15 21:00:00,None,35.0,5.9,77.1,DARK,7.0,1020.0,93.0,2.0,nuvens quebradas,0.0,
78,2018-07-30 15:00:00,High,37.5,60.8,90.4,LIGHT,22.0,1019.0,94.0,3.0,,0.0,chuva leve
79,2018-08-01 11:00:00,Medium,39.4,33.4,88.6,LIGHT,22.0,1017.0,69.0,2.0,céu claro,0.0,
80,2019-09-29 18:00:00,High,41.0,81.3,83.5,LIGHT,20.0,1020.0,77.0,1.0,nuvens quebradas,0.0,
81,2018-11-28 22:00:00,None,47.9,0.0,71.6,DARK,10.0,1019.0,81.0,6.0,algumas nuvens,0.0,
82,2019-06-12 19:00:00,Medium,41.6,10.9,78.2,LIGHT,16.0,1013.0,77.0,7.0,,0.0,
83,2018-11-06 11:00:00,Medium,39.6,11.0,82.9,LIGHT,13.0,1011.0,93.0,9.0,tempo nublado,0.0,
84,2018-08-29 18:00:00,Medium,39.6,35.9,88.3,LIGHT,19.0,1020.0,68.0,7.0,céu claro,0.0,
85,2019-09-11 17:00:00,High,40.9,117.7,82.9,LIGHT,24.0,1022.0,49.0,8.0,,0.0,
86,2019-09-21 03:00:00,None,48.3,0.0,77.2,DARK,17.0,1009.0,82.0,4.0,nuvens quebradas,0.0,
87,2019-09-13 03:00:00,None,43.2,2.8,84.3,DARK,18.0,1023.0,64.0,2.0,,0.0,
88,2019-05-19 22:00:00,None,41.9,2.0,69.2,DARK,12.0,1015.0,76.0,3.0,,0.0,
89,2018-11-12 06:00:00,None,44.2,0.0,82.0,DARK,8.0,1012.0,100.0,1.0,algumas nuvens,0.0,
90,2018-12-03 03:00:00,None,47.1,0.0,70.9,DARK,14.0,1023.0,93.0,6.0,,0.0,
91,2019-06-17 09:00:00,High,37.8,45.4,65.4,LIGHT,17.0,1016.0,82.0,1.0,nuvens dispersas,0.0,
92,2018-09-09 14:00:00,Medium,41.3,16.5,81.9,LIGHT,18.0,1021.0,88.0,2.0,,0.0,
93,2019-07-15 13:00:00,Low,32.8,15.2,83.0,LIGHT,21.0,1016.0,93.0,3.0,nuvens quebradas,0.0,
94,2019-06-03 03:00:00,None,43.1,0.0,71.3,DARK,16.0,1018.0,93.0,1.0,nuvens quebradas,0.0,
95,2018-08-13 22:00:00,None,43.6,4.3,76.9,DARK,16.0,1017.0,93.0,1.0,céu claro,0.0,
96,2019-05-03 23:00:00,None,35.8,1.5,72.3,DARK,15.0,1011.0,72.0,3.0,,0.0,
97,2018-12-11 01:00:00,None,42.1,0.0,75.9,DARK,9.0,1022.0,54.0,6.0,céu claro,0.0,
98,2019-04-22 07:00:00,Medium,41.1,13.9,75.1,LIGHT,12.0,1004.0,87.0,3.0,céu limpo,0.0,
99,2018-12-09 02:00:00,None,37.2,2.4,68.3,DARK,8.0,1032.0,100.0,0.0,nuvens quebradas,0.0,
100,2018-10-26 13:00:00,Medium,42.8,10.5,82.0,LIGHT,17.0,1014.0,82.0,2.0,nuvens dispersas,0.0,
101,2019-07-04 11:00:00,Medium,34.1,27.2,83.2,LIGHT,22.0,1015.0,73.0,4.0,céu pouco nublado,0.0,
102,2019-05-22 21:00:00,None,43.1,0.0,70.1,DARK,16.0,1020.0,93.0,2.0,,0.0,
103,2018-08-05 14:00:00,Low,36.9,8.6,87.2,LIGHT,28.0,1016.0,65.0,2.0,céu claro,0.0,
104,2019-08-10 05:00:00,Low,50.8,9.4,87.2,DARK,16.0,1020.0,100.0,1.0,,0.0,
105,2019-05-22 18:00:00,High,39.9,47.6,72.9,LIGHT,18.0,1018.0,68.0,4.0,céu pouco nublado,0.0,
106,2019-09-02 18:00:00,High,41.7,76.7,81.1,LIGHT,29.0,1015.0,48.0,4.0,,0.0,
107,2019-08-15 14:00:00,High,38.0,49.5,91.3,LIGHT,26.0,1020.0,69.0,6.0,,0.0,
108,2019-08-23 03:00:00,Low,44.8,13.9,78.1,DARK,17.0,1015.0,88.0,3.0,,0.0,
109,2019-06-28 12:00:00,Medium,39.9,17.7,69.7,LIGHT,23.0,1018.0,73.0,4.0,,0.0,
110,2018-11-24 21:00:00,None,39.2,4.2,71.7,DARK,14.0,1008.0,93.0,6.0,,0.0,chuva fraca
111,2019-04-19 16:00:00,High,38.4,99.3,80.3,LIGHT,20.0,1015.0,46.0,3.0,céu pouco nublado,0.0,
112,2019-09-11 20:00:00,Low,44.1,12.8,80.3,DARK,20.0,1022.0,68.0,3.0,,0.0,
113,2019-03-03 14:00:00,Low,33.6,16.9,103.8,LIGHT,16.0,1022.0,82.0,7.0,nuvens quebradas,0.0,
114,2018-09-14 20:00:00,Low,42.4,3.3,78.4,DARK,17.0,1017.0,93.0,2.0,,0.0,
115,2018-10-21 22:00:00,None,43.0,4.8,82.7,DARK,17.0,1019.0,88.0,2.0,céu claro,0.0,
116,2018-09-06 11:00:00,Medium,37.4,30.6,91.6,LIGHT,20.0,1016.0,77.0,2.0,céu claro,0.0,
117,2019-07-01 18:00:00,Very_High,41.1,132.7,72.7,LIGHT,23.0,1018.0,73.0,5.0,,0.0,
118,2019-06-23 23:00:00,High,51.1,35.3,65.8,DARK,17.0,1014.0,100.0,0.0,céu pouco nublado,0.0,
119,2019-04-14 22:00:00,Low,37.0,7.5,68.6,DARK,16.0,1014.0,100.0,3.0,nuvens quebradas,0.0,
120,2019-01-21 03:00:00,Low,47.3,1.2,73.2,DARK,5.0,1024.0,93.0,2.0,céu claro,0.0,
121,2019-05-31 16:00:00,High,36.4,61.0,74.9,LIGHT,30.0,1019.0,32.0,3.0,,0.0,
122,2018-10-12 05:00:00,None,42.1,5.5,88.7,DARK,17.0,1015.0,77.0,7.0,algumas nuvens,0.0,
123,2018-09-23 02:00:00,None,44.5,0.0,85.0,DARK,14.0,1022.0,100.0,0.0,céu claro,0.0,
124,2019-09-15 23:00:00,Low,44.9,6.2,70.2,DARK,20.0,1017.0,72.0,1.0,,0.0,
125,2019-07-09 15:00:00,High,39.5,38.0,88.8,LIGHT,25.0,1016.0,78.0,3.0,,0.0,
126,2018-10-29 20:00:00,Medium,40.8,19.2,82.4,DARK,10.0,1005.0,93.0,3.0,,0.0,chuva fraca
127,2019-07-01 13:00:00,Medium,38.2,15.4,66.1,LIGHT,23.0,1019.0,73.0,3.0,céu pouco nublado,0.0,
128,2019-06-10 21:00:00,Low,40.3,9.7,72.3,DARK,15.0,1019.0,82.0,5.0,céu pouco nublado,0.0,
129,2019-03-30 13:00:00,Medium,32.8,23.6,84.3,LIGHT,20.0,1017.0,48.0,2.0,céu pouco nublado,0.0,
130,2019-06-19 12:00:00,Medium,35.2,34.4,81.2,LIGHT,19.0,1017.0,88.0,4.0,nuvens quebradas,0.0,
131,2019-04-03 03:00:00,None,41.8,0.0,74.8,DARK,8.0,1015.0,87.0,2.0,céu limpo,0.0,
132,2019-01-15 23:00:00,None,41.6,0.0,76.2,DARK,7.0,1020.0,93.0,4.0,nuvens quebradas,0.0,
133,2019-02-11 06:00:00,None,39.0,4.4,92.1,DARK,3.0,1029.0,100.0,1.0,céu claro,0.0,
134,2019-05-12 09:00:00,Low,41.8,0.9,61.8,LIGHT,20.0,1021.0,32.0,6.0,,0.0,
135,2019-04-12 19:00:00,Medium,34.6,21.2,81.2,DARK,13.0,1019.0,87.0,1.0,céu limpo,0.0,
136,2018-11-19 13:00:00,None,35.3,6.6,78.1,LIGHT,14.0,986.0,86.0,1.0,nuvens quebradas,0.0,
137,2019-07-14 01:00:00,None,35.0,3.4,87.4,DARK,18.0,1016.0,100.0,1.0,nuvens quebradas,0.0,
138,2018-08-06 11:00:00,Medium,39.4,35.1,88.6,LIGHT,20.0,1017.0,88.0,2.0,,0.0,
139,2019-07-10 09:00:00,High,39.5,36.7,84.1,LIGHT,23.0,1015.0,73.0,1.0,,0.0,
140,2018-10-05 20:00:00,None,41.8,2.1,82.1,DARK,15.0,1016.0,87.0,2.0,céu claro,0.0,
141,2019-08-09 10:00:00,High,40.8,66.4,82.2,LIGHT,20.0,1016.0,100.0,6.0,nuvens quebradas,0.0,
142,2018-08-02 02:00:00,None,40.6,0.0,87.6,DARK,18.0,1013.0,88.0,1.0,céu claro,0.0,
143,2019-02-23 10:00:00,None,36.3,2.3,94.0,LIGHT,11.0,1030.0,66.0,5.0,céu claro,0.0,
144,2019-06-28 17:00:00,Very_High,45.6,83.1,73.6,LIGHT,23.0,1017.0,68.0,6.0,,0.0,
145,2018-11-28 18:00:00,Very_High,46.1,90.9,75.8,DARK,13.0,1020.0,82.0,4.0,nuvens quebradas,0.0,
146,2019-03-31 13:00:00,Low,32.2,15.1,87.1,LIGHT,19.0,1012.0,48.0,3.0,céu limpo,0.0,
147,2019-08-19 00:00:00,Low,51.3,15.1,88.6,DARK,16.0,1018.0,93.0,1.0,,0.0,
148,2019-04-14 09:00:00,Low,31.9,10.1,81.3,LIGHT,15.0,1017.0,100.0,4.0,,0.0,chuvisco fraco
149,2019-09-22 12:00:00,Low,34.6,8.7,75.9,LIGHT,19.0,1017.0,72.0,3.0,céu pouco nublado,0.0,
150,2018-08-16 21:00:00,Low,44.4,7.3,75.5,DARK,18.0,1016.0,88.0,4.0,céu claro,0.0,
151,2019-02-02 12:00:00,Medium,35.3,15.0,94.0,LIGHT,10.0,1021.0,61.0,5.0,algumas nuvens,0.0,
152,2019-07-12 07:00:00,High,45.3,41.8,73.2,LIGHT,18.0,1013.0,93.0,1.0,,0.0,
153,2018-09-24 05:00:00,None,40.9,0.0,89.3,DARK,15.0,1021.0,100.0,0.0,céu claro,0.0,
154,2018-11-07 11:00:00,Medium,35.7,19.2,82.9,LIGHT,15.0,1015.0,67.0,2.0,nuvens dispersas,0.0,
155,2019-07-12 15:00:00,Medium,37.5,32.4,91.3,LIGHT,26.0,1015.0,57.0,2.0,,0.0,
156,2019-04-14 05:00:00,Low,45.1,3.1,63.0,DARK,14.0,1017.0,100.0,4.0,,0.0,
157,2018-08-03 11:00:00,Medium,37.5,43.4,90.9,LIGHT,27.0,1017.0,58.0,4.0,céu claro,0.0,
158,2018-10-03 13:00:00,Medium,37.4,23.0,89.3,LIGHT,27.0,1022.0,16.0,2.0,céu claro,0.0,
159,2019-06-01 20:00:00,Medium,34.1,12.1,75.1,LOW_LIGHT,25.0,1017.0,41.0,2.0,,0.0,
160,2018-08-17 05:00:00,None,44.9,0.0,84.6,DARK,15.0,1017.0,87.0,3.0,céu claro,0.0,
161,2019-06-13 19:00:00,Medium,35.3,22.1,80.8,LIGHT,16.0,1013.0,72.0,6.0,céu pouco nublado,0.0,
162,2019-09-12 04:00:00,None,37.2,4.8,88.6,DARK,18.0,1024.0,52.0,2.0,,0.0,
163,2019-01-20 15:00:00,Medium,39.3,23.7,87.3,LIGHT,14.0,1020.0,67.0,5.0,nuvens dispersas,0.0,
164,2018-10-16 11:00:00,Medium,37.0,22.3,91.1,LIGHT,18.0,1017.0,77.0,0.0,,0.0,
165,2019-07-24 05:00:00,Low,40.0,6.8,80.1,DARK,15.0,1015.0,100.0,2.0,,0.0,
166,2018-07-29 11:00:00,Low,42.7,11.0,87.9,LIGHT,21.0,1019.0,60.0,2.0,algumas nuvens,0.0,
167,2018-09-02 00:00:00,Low,43.7,6.0,86.9,DARK,22.0,1012.0,57.0,1.0,céu claro,0.0,
168,2018-08-03 17:00:00,High,42.1,43.9,89.1,LIGHT,29.0,1016.0,48.0,2.0,céu claro,0.0,
169,2018-10-12 21:00:00,Low,41.3,7.4,86.4,DARK,21.0,1018.0,73.0,7.0,nuvens quebradas,0.0,
170,2019-09-06 02:00:00,None,51.6,0.0,75.3,DARK,19.0,1018.0,43.0,4.0,,0.0,
171,2019-04-27 04:00:00,None,42.0,0.0,74.0,DARK,7.0,1028.0,87.0,1.0,,0.0,
172,2018-10-13 14:00:00,Medium,38.5,55.0,88.4,LIGHT,22.0,1011.0,60.0,5.0,algumas nuvens,0.0,
173,2018-08-24 13:00:00,Low,40.4,11.2,87.4,LIGHT,22.0,1019.0,69.0,3.0,céu claro,0.0,
174,2019-08-11 00:00:00,Low,40.7,7.3,81.1,DARK,17.0,1021.0,93.0,3.0,céu pouco nublado,0.0,
175,2018-10-30 10:00:00,Very_High,40.4,108.1,83.2,LIGHT,10.0,1000.0,93.0,2.0,,0.0,chuva fraca
176,2019-05-24 23:00:00,Low,35.4,6.3,80.0,DARK,17.0,1019.0,52.0,4.0,,0.0,
177,2019-01-27 01:00:00,Low,47.8,3.8,66.1,DARK,11.0,1021.0,93.0,3.0,tempo nublado,0.0,
178,2019-09-08 18:00:00,Medium,42.5,26.2,79.9,LIGHT,26.0,1016.0,41.0,5.0,,0.0,
179,2019-05-25 20:00:00,Medium,39.8,61.3,76.4,LOW_LIGHT,18.0,1019.0,72.0,6.0,,0.0,
180,2019-08-10 20:00:00,Medium,43.7,20.5,88.1,DARK,18.0,1021.0,88.0,3.0,,0.0,
181,2018-08-16 15:00:00,High,42.8,98.1,85.7,LIGHT,21.0,1017.0,73.0,4.0,céu claro,0.0,
182,2018-11-26 06:00:00,Medium,49.3,2.3,72.9,DARK,13.0,1017.0,81.0,7.0,nuvens quebradas,0.0,
183,2018-11-23 16:00:00,High,41.4,47.8,76.2,LIGHT,14.0,1013.0,76.0,5.0,algumas nuvens,0.0,
184,2019-05-03 22:00:00,None,38.3,1.1,66.3,DARK,16.0,1011.0,77.0,2.0,,0.0,chuva fraca
185,2019-06-17 17:00:00,High,37.4,32.8,76.7,LIGHT,18.0,1014.0,72.0,2.0,,0.0,
186,2019-08-11 09:00:00,Medium,46.4,16.2,80.4,LIGHT,18.0,1021.0,82.0,2.0,céu pouco nublado,0.0,
187,2019-04-28 17:00:00,High,35.4,92.1,87.7,LIGHT,22.0,1019.0,64.0,5.0,,0.0,
188,2018-09-07 13:00:00,Medium,37.9,20.7,86.8,LIGHT,22.0,1014.0,61.0,3.0,céu claro,0.0,
189,2018-08-18 20:00:00,Medium,40.0,21.8,88.8,DARK,26.0,1016.0,50.0,3.0,céu claro,0.0,
190,2018-10-11 18:00:00,High,41.6,61.5,90.7,DARK,18.0,1013.0,68.0,5.0,algumas nuvens,0.0,
191,2018-08-19 18:00:00,Low,39.3,4.6,83.2,LIGHT,28.0,1016.0,37.0,4.0,céu claro,0.0,
192,2019-08-23 19:00:00,Medium,35.5,24.9,78.3,LIGHT,25.0,1017.0,83.0,3.0,,0.0,
193,2019-09-07 17:00:00,Medium,38.5,29.9,88.8,LIGHT,27.0,1016.0,28.0,4.0,,0.0,
194,2019-07-18 03:00:00,Low,35.2,17.4,93.8,DARK,15.0,1017.0,100.0,11.0,,0.0,
195,2018-10-22 04:00:00,None,44.0,0.8,85.5,DARK,16.0,1020.0,77.0,2.0,céu claro,0.0,
196,2019-08-21 22:00:00,Medium,45.4,20.3,74.9,DARK,20.0,1017.0,93.0,1.0,,0.0,
197,2018-11-20 06:00:00,None,47.9,0.0,71.9,DARK,13.0,1000.0,87.0,2.0,,0.0,chuva moderada
198,2018-11-27 06:00:00,None,42.1,0.0,76.4,DARK,6.0,1023.0,93.0,3.0,céu claro,0.0,
199,2018-10-10 08:00:00,Very_High,44.9,228.5,84.6,LIGHT,9.0,1004.0,76.0,2.0,céu claro,0.0,
200,2019-05-18 09:00:00,Medium,34.0,9.6,61.8,LIGHT,12.0,1016.0,81.0,1.0,nuvens quebradas,0.0,
201,2019-09-27 00:00:00,None,41.9,0.0,76.2,DARK,15.0,1022.0,93.0,1.0,,0.0,
202,2019-01-19 22:00:00,Low,37.7,9.2,74.4,DARK,13.0,1009.0,100.0,4.0,,0.0,chuva moderada
203,2018-10-21 00:00:00,Low,45.8,32.2,84.7,DARK,19.0,1017.0,68.0,1.0,céu claro,0.0,
204,2018-08-21 01:00:00,None,44.2,0.0,86.2,DARK,18.0,1014.0,77.0,0.0,céu claro,0.0,
205,2019-03-04 23:00:00,None,38.9,0.0,92.4,DARK,11.0,1019.0,76.0,3.0,nuvens dispersas,0.0,
206,2019-08-13 03:00:00,Low,45.1,11.8,89.3,DARK,13.0,1021.0,93.0,7.0,,0.0,
207,2019-09-05 17:00:00,Very_High,40.7,106.7,83.0,LIGHT,28.0,1017.0,29.0,4.0,,0.0,
208,2018-11-20 01:00:00,None,33.1,3.7,73.5,DARK,13.0,1001.0,93.0,1.0,algumas nuvens,0.0,
209,2018-09-08 10:00:00,Low,37.6,19.0,92.5,LIGHT,22.0,1014.0,64.0,3.0,algumas nuvens,0.0,
210,2019-04-18 09:00:00,High,31.9,106.5,76.3,LIGHT,14.0,1012.0,87.0,4.0,céu pouco nublado,0.0,
211,2019-05-06 00:00:00,None,41.5,0.0,76.1,DARK,14.0,1019.0,87.0,3.0,nublado,0.0,
212,2019-09-27 18:00:00,Very_High,42.8,132.0,81.1,LIGHT,19.0,1021.0,88.0,3.0,céu pouco nublado,0.0,
213,2019-06-10 10:00:00,Low,38.6,22.9,82.9,LIGHT,16.0,1021.0,72.0,3.0,,0.0,
214,2018-09-03 09:00:00,Low,37.6,21.8,92.5,LIGHT,18.0,1012.0,100.0,3.0,nuvens quebradas,0.0,
215,2019-02-25 08:00:00,Very_High,47.2,67.4,78.3,LIGHT,8.0,1029.0,58.0,5.0,céu claro,0.0,
216,2019-09-27 05:00:00,None,42.5,0.0,85.9,DARK,11.0,1021.0,100.0,1.0,céu pouco nublado,0.0,
217,2019-01-28 01:00:00,None,38.1,6.6,75.3,DARK,9.0,1025.0,87.0,1.0,nuvens quebradas,0.0,
